year,month,day,date
canh thìn,canh thìn,giáp dần,26-Apr-00
canh thìn,canh thìn,ất mão,27-Apr-00
canh thìn,canh thìn,bính thìn,28-Apr-00
canh thìn,canh thìn,đinh tỵ,29-Apr-00
canh thìn,canh thìn,mậu ngọ,30-Apr-00
canh thìn,canh thìn,kỷ mùi,1-May-00
canh thìn,canh thìn,canh thân,2-May-00
canh thìn,canh thìn,tân dậu,3-May-00
canh thìn,tân tỵ,nhâm tuất,4-May-00
canh thìn,tân tỵ,quý hợi,5-May-00
canh thìn,tân tỵ,giáp tý,6-May-00
canh thìn,tân tỵ,ất sửu,7-May-00
canh thìn,tân tỵ,bính dần,8-May-00
canh thìn,tân tỵ,đinh mão,9-May-00
canh thìn,tân tỵ,mậu thìn,10-May-00
canh thìn,tân tỵ,kỷ tỵ,11-May-00
canh thìn,tân tỵ,canh ngọ,12-May-00
canh thìn,tân tỵ,tân mùi,13-May-00
canh thìn,tân tỵ,nhâm thân,14-May-00
canh thìn,tân tỵ,quý dậu,15-May-00
canh thìn,tân tỵ,giáp tuất,16-May-00
canh thìn,tân tỵ,ất hợi,17-May-00
canh thìn,tân tỵ,bính tý,18-May-00
canh thìn,tân tỵ,đinh sửu,19-May-00
canh thìn,tân tỵ,mậu dần,20-May-00
canh thìn,tân tỵ,kỷ mão,21-May-00
canh thìn,tân tỵ,canh thìn,22-May-00
canh thìn,tân tỵ,tân tỵ,23-May-00
canh thìn,tân tỵ,nhâm ngọ,24-May-00
canh thìn,tân tỵ,quý mùi,25-May-00
canh thìn,tân tỵ,giáp thân,26-May-00
canh thìn,tân tỵ,ất dậu,27-May-00
canh thìn,tân tỵ,bính tuất,28-May-00
canh thìn,tân tỵ,đinh hợi,29-May-00
canh thìn,tân tỵ,mậu tý,30-May-00
canh thìn,tân tỵ,kỷ sửu,31-May-00
canh thìn,tân tỵ,canh dần,1-Jun-00
canh thìn,nhâm ngọ,tân mão,2-Jun-00
canh thìn,nhâm ngọ,nhâm thìn,3-Jun-00
canh thìn,nhâm ngọ,quý tỵ,4-Jun-00
